language_group,target,status,phenotype,detector,view,propositions
spanish,Medial OA,negative,normal_cartilage,v3_target,strict,8
spanish,Medial OA,negative,abnormality_absent,v2_exact,strict,8
spanish,PF OA,negative,chondral_abnormality_absent,v3_target,strict,8
spanish,PF OA,positive,abnormality,v2_exact,strict,8
turkish,ACL,positive,sprain,v2_exact,strict,8
greek_script,PF OA,negative,abnormality_absent,v2_collective,strict,8
cyrillic_script,Fracture,negative,abnormality_absent,v2_exact,strict,8
cyrillic_script,Medial Meniscus,positive,degeneration,v3_target,strict,8
greek_script,Medial OA,negative,abnormality_absent,v2_collective,strict,8
english,MCL,positive,avulsion,v3_target,strict,8
latin_other,Effusion,positive,joint_effusion,v3_morphology,strict,8
latin_other,Baker's,negative,abnormality_absent,v2_exact,strict,8
english,ACL,uncertain,abnormality,v3_target,strict,7
german,Lateral Meniscus,positive,abnormality,v3_target,strict,7
english,ACL,positive,sprain,v3_target,strict,7
english,MCL,uncertain,tear,v2_exact,strict,7
english,MCL,positive,avulsion,v2_exact,strict,7
french,Lateral OA,positive,chondral_abnormality,v3_target,strict,7
greek_script,Effusion,positive,chondral_abnormality,v2_exact,strict,7
greek_script,Medial OA,positive,tear,v2_exact,strict,7
turkish,Medial OA,positive,abnormality,v2_exact,strict,7
english,MCL,positive,degeneration,v3_target,strict,7
spanish,Medial Meniscus,positive,degeneration,v2_exact,strict,7
french,Contusion,positive,abnormality,v2_exact,strict,7
greek_script,ACL,negative,abnormality_absent,v2_exact,strict,7
dutch,Synovitis,positive,abnormality,v2_exact,strict,7
spanish,Lateral Meniscus,positive,degeneration,v3_target,strict,7
turkish,ACL,negative,abnormality_absent,v2_collective,strict,7
greek_script,Medial OA,positive,degeneration,v2_exact,strict,7
english,Contusion,positive,chondral_abnormality,v2_exact,strict,6
english,Fracture,negative,fracture_absent,v3_morphology,linked,6
english,Contusion,positive,fracture,v2_exact,strict,6
spanish,Lateral Meniscus,positive,abnormality,v3_target,linked,6
english,ACL,positive,avulsion,v2_exact,strict,6
south_slavic,MCL,positive,abnormality,v3_target,strict,6
latin_other,PF OA,positive,chondral_abnormality,v3_target,strict,6
south_slavic,MCL,positive,degeneration,v3_target,strict,6
german,Medial Meniscus,positive,abnormality,v2_exact,strict,6
spanish,Medial Meniscus,uncertain,tear,v3_target,strict,6
spanish,Medial Meniscus,uncertain,tear,v2_exact,strict,6
french,MCL,positive,abnormality,v3_target,strict,6
french,Medial Meniscus,positive,extrusion,v2_exact,strict,6
english,ACL,positive,avulsion,v3_target,strict,6
french,Medial Meniscus,positive,extrusion,v3_target,strict,6
south_slavic,ACL,uncertain,degeneration,v3_target,strict,6
greek_script,Effusion,positive,tear,v2_exact,strict,6
turkish,PF OA,negative,normal_cartilage,v3_target,strict,6
english,Lateral OA,positive,chondral_abnormality,v3_target,linked,6
french,MCL,positive,abnormality,v2_exact,strict,6
greek_script,Medial OA,positive,chondral_abnormality,v2_exact,strict,6
english,MCL,positive,degeneration,v2_exact,strict,6
latin_other,Lateral Meniscus,negative,abnormality_absent,v3_target,strict,6
latin_other,Lateral Meniscus,negative,abnormality_absent,v2_exact,strict,6
french,Lateral Meniscus,negative,abnormality_absent,v2_collective,strict,5
greek_script,Medial Meniscus,positive,extrusion,v2_exact,strict,5
turkish,Synovitis,positive,sprain,v2_exact,strict,5
greek_script,Medial Meniscus,positive,extrusion,v3_target,strict,5
greek_script,Lateral OA,positive,degeneration,v2_exact,strict,5
english,Lateral OA,positive,degeneration,v2_exact,strict,5
german,Lateral Meniscus,positive,abnormality,v2_exact,strict,5
english,Contusion,uncertain,fracture,v2_exact,strict,5
spanish,Lateral Meniscus,positive,degeneration,v2_exact,strict,5
english,Synovitis,positive,tear,v2_exact,strict,5
spanish,ACL,negative,abnormality_absent,v3_target,linked,5
french,ACL,negative,abnormality_absent,v3_target,strict,5
english,Medial OA,negative,normal_cartilage,v3_target,linked,5
spanish,Medial Meniscus,negative,normal_structure,v3_target,strict,5
spanish,Synovitis,negative,abnormality_absent,v2_exact,strict,5
french,Medial Meniscus,negative,abnormality_absent,v2_collective,strict,5
spanish,ACL,positive,degeneration,v2_exact,strict,5
spanish,Lateral Meniscus,uncertain,tear,v3_target,strict,5
spanish,Lateral Meniscus,uncertain,tear,v2_exact,strict,5
spanish,ACL,positive,degeneration,v3_target,strict,5
english,Medial OA,positive,degeneration,v2_exact,strict,5
english,PF OA,positive,chondral_abnormality,v2_collective,strict,5
greek_script,Medial Meniscus,negative,abnormality_absent,v3_target,strict,5
greek_script,Medial Meniscus,negative,normal_structure,v3_target,linked,5
english,Medial Meniscus,positive,avulsion,v2_exact,strict,5
german,Medial OA,negative,abnormality_absent,v2_exact,strict,5
greek_script,ACL,negative,abnormality_absent,v3_target,strict,5
english,Medial Meniscus,positive,avulsion,v3_target,strict,5
latin_other,ACL,negative,abnormality_absent,v2_exact,strict,5
english,Effusion,positive,tear,v2_exact,strict,5
south_slavic,MCL,positive,abnormality,v2_exact,strict,5
english,Baker's,uncertain,baker_cyst,v3_morphology,strict,5
dutch,Contusion,positive,abnormality,v2_exact,strict,4
dutch,Effusion,positive,degeneration,v2_exact,strict,4
german,Lateral Meniscus,positive,degeneration,v2_exact,strict,4
german,Lateral Meniscus,positive,extrusion,v3_target,strict,4
cyrillic_script,Medial OA,positive,chondral_abnormality,v3_target,strict,4
turkish,Fracture,uncertain,fracture,v3_morphology,strict,4
turkish,ACL,positive,abnormality,v3_target,strict,4
french,Medial Meniscus,negative,abnormality_absent,v3_target,strict,4
german,Lateral OA,negative,normal_cartilage,v3_target,strict,4
spanish,MCL,negative,abnormality_absent,v2_exact,strict,4
spanish,Medial Meniscus,uncertain,abnormality,v2_exact,strict,4
spanish,Medial Meniscus,uncertain,abnormality,v3_target,strict,4
spanish,Lateral Meniscus,positive,tear,v3_target,linked,4
spanish,Lateral Meniscus,positive,extrusion,v3_target,strict,4
german,Medial Meniscus,positive,extrusion,v2_exact,strict,4
spanish,Lateral Meniscus,positive,extrusion,v2_exact,strict,4
south_slavic,Synovitis,positive,abnormality,v2_exact,strict,4
south_slavic,Medial Meniscus,positive,tear,v3_target,linked,4
spanish,Lateral Meniscus,negative,normal_structure,v3_target,strict,4
dutch,PF OA,negative,normal_cartilage,v3_target,strict,4
german,Medial OA,negative,chondral_abnormality_absent,v3_target,strict,4
german,Synovitis,positive,abnormality,v2_exact,strict,4
english,Medial Meniscus,positive,degeneration,v3_target,linked,4
spanish,ACL,negative,normal_structure,v3_target,strict,4
spanish,Fracture,negative,abnormality_absent,v2_exact,strict,4
south_slavic,Lateral Meniscus,positive,degeneration,v2_exact,strict,4
english,Lateral Meniscus,uncertain,abnormality,v3_target,strict,4
south_slavic,MCL,positive,degeneration,v2_exact,strict,4
south_slavic,Lateral Meniscus,uncertain,tear,v3_target,strict,4
latin_other,Medial OA,negative,abnormality_absent,v2_collective,strict,4
german,ACL,negative,abnormality_absent,v2_exact,strict,4
latin_other,PF OA,positive,chondral_abnormality,v2_exact,strict,4
latin_other,ACL,negative,normal_structure,v3_target,strict,4
latin_other,ACL,positive,abnormality,v3_target,strict,4
english,MCL,positive,sprain,v3_target,linked,4
german,ACL,negative,normal_structure,v3_target,strict,4
latin_other,Lateral OA,negative,abnormality_absent,v2_collective,strict,4
greek_script,Lateral Meniscus,negative,normal_structure,v3_target,linked,4
greek_script,Lateral OA,negative,chondral_abnormality_absent,v3_target,strict,4
greek_script,MCL,positive,tear,v2_exact,strict,4
greek_script,Lateral OA,positive,chondral_abnormality,v2_exact,strict,4
greek_script,Lateral OA,positive,tear,v2_exact,strict,4
greek_script,MCL,positive,tear,v3_target,strict,4
english,Lateral OA,positive,chondral_abnormality,v2_collective,strict,4
french,Lateral Meniscus,positive,degeneration,v2_exact,strict,4
french,Lateral OA,negative,abnormality_absent,v2_exact,strict,4
french,Lateral OA,negative,normal_cartilage,v3_target,strict,4
french,Fracture,negative,abnormality_absent,v2_exact,strict,4
greek_script,Medial Meniscus,positive,tear,v2_collective,strict,3
turkish,Synovitis,positive,tear,v2_exact,strict,3
turkish,Fracture,uncertain,fracture,v2_exact,strict,3
dutch,Fracture,positive,chondral_abnormality,v2_exact,strict,3
greek_script,Medial Meniscus,positive,fracture,v2_exact,strict,3
dutch,Effusion,uncertain,abnormality,v2_exact,strict,3
dutch,Lateral Meniscus,negative,abnormality_absent,v3_target,strict,3
greek_script,Lateral Meniscus,positive,tear,v2_collective,strict,3
dutch,MCL,positive,sprain,v2_exact,strict,3
spanish,Medial Meniscus,positive,extrusion,v3_target,strict,3
greek_script,Fracture,negative,fracture_absent,v3_morphology,strict,3
spanish,Medial Meniscus,positive,extrusion,v2_exact,strict,3
german,MCL,positive,tear,v2_exact,strict,3
german,Lateral Meniscus,uncertain,degeneration,v3_target,strict,3
greek_script,Medial OA,negative,normal_cartilage,v3_target,strict,3
greek_script,MCL,negative,normal_structure,v3_target,strict,3
greek_script,Lateral OA,negative,normal_cartilage,v3_target,strict,3
spanish,PF OA,positive,chondral_abnormality,v3_target,linked,3
dutch,MCL,positive,sprain,v3_target,strict,3
german,Medial OA,negative,normal_cartilage,v3_target,strict,3
english,Lateral Meniscus,positive,degeneration,v2_collective,strict,3
south_slavic,Effusion,uncertain,abnormality,v2_exact,strict,3
german,Baker's,positive,tear,v2_exact,strict,3
german,Baker's,negative,baker_cyst_absent,v3_morphology,strict,3
english,PF OA,uncertain,chondral_abnormality,v2_exact,strict,3
french,Synovitis,positive,tear,v2_exact,strict,3
french,Medial OA,positive,degeneration,v2_exact,strict,3
french,Medial OA,negative,abnormality_absent,v2_exact,strict,3
french,Medial OA,negative,normal_cartilage,v3_target,strict,3
latin_other,Synovitis,positive,abnormality,v2_exact,strict,3
spanish,ACL,positive,abnormality,v3_target,strict,3
french,Medial OA,positive,chondral_abnormality,v3_target,linked,3
english,Lateral Meniscus,uncertain,abnormality,v2_exact,strict,3
english,Lateral Meniscus,positive,extrusion,v3_target,strict,3
spanish,Lateral Meniscus,positive,degeneration,v2_collective,strict,3
latin_other,Medial OA,positive,chondral_abnormality,v2_exact,strict,3
english,Medial OA,negative,abnormality_absent,v2_collective,strict,3
german,Medial Meniscus,uncertain,degeneration,v3_target,strict,3
dutch,Medial OA,positive,chondral_abnormality,v2_exact,strict,3
spanish,Fracture,uncertain,fracture,v2_exact,strict,3
dutch,Medial OA,negative,normal_cartilage,v3_target,strict,3
english,Medial OA,positive,chondral_abnormality,v3_target,linked,3
spanish,Fracture,uncertain,fracture,v3_morphology,strict,3
english,Medial OA,positive,abnormality,v2_collective,strict,3
latin_other,MCL,negative,normal_structure,v3_target,strict,3
spanish,MCL,negative,abnormality_absent,v3_target,strict,3
latin_other,Fracture,negative,abnormality_absent,v2_exact,strict,3
latin_other,Fracture,negative,fracture_absent,v3_morphology,strict,3
latin_other,MCL,negative,abnormality_absent,v2_exact,strict,3
latin_other,Effusion,negative,abnormality_absent,v2_exact,strict,3
south_slavic,Lateral Meniscus,negative,abnormality_absent,v3_target,linked,3
south_slavic,Lateral Meniscus,positive,tear,v2_collective,strict,3
english,Fracture,positive,avulsion,v2_exact,strict,3
english,ACL,uncertain,degeneration,v2_exact,strict,3
english,Contusion,uncertain,abnormality,v2_exact,strict,3
cyrillic_script,Lateral OA,negative,normal_cartilage,v3_target,strict,3
cyrillic_script,Lateral Meniscus,positive,tear,v2_exact,strict,3
cyrillic_script,Lateral Meniscus,positive,tear,v3_target,strict,3
cyrillic_script,Lateral OA,negative,abnormality_absent,v2_exact,strict,3
german,Contusion,positive,chondral_abnormality,v2_exact,strict,3
greek_script,Contusion,positive,fracture,v2_exact,strict,3
german,Contusion,positive,fracture,v2_exact,strict,3
greek_script,Contusion,positive,sprain,v2_exact,strict,3
south_slavic,Fracture,uncertain,fracture,v3_morphology,strict,3
south_slavic,Fracture,uncertain,fracture,v2_exact,strict,3
south_slavic,Fracture,negative,fracture_absent,v3_morphology,strict,3
english,ACL,uncertain,tear,v3_target,linked,3
english,Baker's,uncertain,abnormality,v2_exact,strict,3
south_slavic,Synovitis,positive,synovitis,v3_morphology,strict,3
south_slavic,PF OA,positive,chondral_abnormality,v3_target,linked,3
english,ACL,negative,normal_structure,v3_target,linked,3
english,ACL,uncertain,sprain,v3_target,strict,3
english,ACL,uncertain,degeneration,v3_target,strict,3
english,ACL,uncertain,sprain,v2_exact,strict,3
south_slavic,Fracture,negative,abnormality_absent,v2_exact,strict,3
german,Baker's,negative,abnormality_absent,v2_exact,strict,3
english,ACL,uncertain,abnormality,v2_exact,strict,3
cyrillic_script,Medial Meniscus,negative,abnormality_absent,v3_target,strict,3
english,MCL,positive,tear,v3_target,linked,2
dutch,Baker's,positive,degeneration,v2_exact,strict,2
turkish,Contusion,uncertain,bone_contusion,v3_morphology,strict,2
cyrillic_script,Effusion,positive,chondral_abnormality,v2_exact,strict,2
spanish,Medial Meniscus,positive,tear,v2_collective,strict,2
latin_other,Baker's,positive,abnormality,v2_exact,strict,2
latin_other,ACL,positive,abnormality,v2_exact,strict,2
french,ACL,positive,avulsion,v3_target,linked,2
french,Baker's,positive,chondral_abnormality,v2_exact,strict,2
greek_script,Synovitis,positive,chondral_abnormality,v2_exact,strict,2
greek_script,Fracture,negative,abnormality_absent,v2_exact,strict,2
greek_script,Lateral Meniscus,positive,extrusion,v3_target,strict,2
french,ACL,positive,abnormality,v3_target,linked,2
french,ACL,positive,degeneration,v3_target,strict,2
spanish,Medial OA,positive,chondral_abnormality,v3_target,linked,2
greek_script,PF OA,negative,chondral_abnormality_absent,v3_target,strict,2
greek_script,PF OA,negative,normal_cartilage,v3_target,strict,2
german,MCL,positive,abnormality,v2_exact,strict,2
german,MCL,positive,abnormality,v3_target,strict,2
german,MCL,positive,tear,v3_target,strict,2
dutch,Lateral Meniscus,positive,extrusion,v3_target,strict,2
turkish,ACL,negative,abnormality_absent,v3_target,strict,2
greek_script,Lateral OA,positive,abnormality,v2_exact,strict,2
greek_script,MCL,negative,normal_structure,v3_target,linked,2
dutch,Contusion,positive,bone_contusion,v3_morphology,strict,2
turkish,Lateral Meniscus,uncertain,tear,v3_target,strict,2
turkish,Lateral OA,positive,chondral_abnormality,v2_exact,strict,2
turkish,Lateral OA,positive,chondral_abnormality,v3_target,strict,2
cyrillic_script,Medial Meniscus,positive,chondral_abnormality,v2_exact,strict,2
greek_script,Medial Meniscus,positive,degeneration,v3_target,linked,2
turkish,Lateral OA,positive,degeneration,v3_target,strict,2
dutch,Lateral OA,negative,normal_cartilage,v3_target,strict,2
spanish,Lateral OA,positive,chondral_abnormality,v3_target,linked,2
spanish,MCL,positive,abnormality,v3_target,strict,2
spanish,MCL,positive,abnormality,v2_exact,strict,2
spanish,MCL,negative,normal_structure,v3_target,strict,2
english,Lateral Meniscus,negative,normal_structure,v3_target,linked,2
french,Effusion,negative,abnormality_absent,v2_exact,strict,2
french,Medial Meniscus,uncertain,abnormality,v2_exact,strict,2
french,Medial Meniscus,uncertain,abnormality,v3_target,strict,2
english,Lateral OA,positive,abnormality,v2_collective,strict,2
south_slavic,ACL,positive,sprain,v3_target,strict,2
south_slavic,Baker's,negative,baker_cyst_absent,v3_morphology,linked,2
south_slavic,Baker's,positive,baker_cyst,v3_morphology,linked,2
english,Lateral Meniscus,uncertain,degeneration,v3_target,strict,2
english,Lateral Meniscus,positive,tear,v3_target,linked,2
english,Medial Meniscus,uncertain,abnormality,v2_exact,strict,2
english,Lateral Meniscus,positive,extrusion,v2_exact,strict,2
english,Medial Meniscus,uncertain,abnormality,v3_target,strict,2
english,Medial Meniscus,uncertain,degeneration,v3_target,strict,2
english,Medial Meniscus,uncertain,tear,v2_collective,strict,2
spanish,Baker's,uncertain,tear,v2_exact,strict,2
dutch,PF OA,uncertain,chondral_abnormality,v3_target,strict,2
german,ACL,positive,degeneration,v3_target,strict,2
english,PF OA,uncertain,chondral_abnormality,v3_target,linked,2
latin_other,Synovitis,negative,abnormality_absent,v2_exact,strict,2
latin_other,PF OA,negative,normal_cartilage,v3_target,strict,2
spanish,Lateral Meniscus,uncertain,tear,v3_target,linked,2
spanish,Medial Meniscus,uncertain,tear,v3_target,linked,2
latin_other,Lateral OA,positive,chondral_abnormality,v2_exact,strict,2
english,PF OA,positive,degeneration,v3_target,strict,2
latin_other,MCL,positive,sprain,v3_target,strict,2
latin_other,Medial OA,positive,chondral_abnormality,v3_target,strict,2
latin_other,PF OA,negative,abnormality_absent,v2_exact,strict,2
german,Medial Meniscus,uncertain,abnormality,v3_target,strict,2
dutch,Medial Meniscus,negative,abnormality_absent,v3_target,strict,2
dutch,Medial Meniscus,uncertain,abnormality,v3_target,strict,2
spanish,Fracture,positive,fracture,v3_morphology,linked,2
latin_other,Effusion,negative,joint_effusion_absent,v3_morphology,strict,2
greek_script,Contusion,positive,tear,v2_exact,strict,2
south_slavic,Medial OA,positive,chondral_abnormality,v2_collective,strict,2
south_slavic,PF OA,positive,abnormality,v2_exact,strict,2
south_slavic,Effusion,positive,degeneration,v2_exact,strict,2
south_slavic,Effusion,positive,chondral_abnormality,v2_exact,strict,2
south_slavic,Contusion,positive,abnormality,v2_exact,strict,2
south_slavic,Effusion,uncertain,tear,v2_exact,strict,2
spanish,ACL,positive,abnormality,v2_exact,strict,2
english,Baker's,positive,chondral_abnormality,v2_exact,strict,2
south_slavic,Medial Meniscus,positive,tear,v2_collective,strict,2
south_slavic,Medial Meniscus,positive,abnormality,v3_target,strict,2
south_slavic,Medial Meniscus,positive,degeneration,v2_exact,strict,2
south_slavic,Lateral Meniscus,uncertain,tear,v2_exact,strict,2
english,Effusion,uncertain,abnormality,v2_exact,strict,2
english,Effusion,positive,chondral_abnormality,v2_exact,strict,2
english,MCL,uncertain,sprain,v3_target,strict,2
english,MCL,uncertain,degeneration,v3_target,strict,2
greek_script,Baker's,positive,baker_cyst,v3_morphology,linked,2
south_slavic,Medial Meniscus,uncertain,degeneration,v3_target,strict,2
south_slavic,Medial Meniscus,positive,degeneration,v3_target,linked,2
turkish,PF OA,negative,abnormality_absent,v2_exact,strict,2
turkish,Medial Meniscus,positive,extrusion,v2_exact,strict,2
turkish,PF OA,positive,tear,v2_exact,strict,2
turkish,Medial Meniscus,positive,extrusion,v3_target,strict,2
turkish,Medial Meniscus,uncertain,tear,v3_target,strict,2
cyrillic_script,ACL,negative,abnormality_absent,v3_target,linked,2
german,Fracture,positive,fracture,v3_morphology,strict,2
german,Lateral Meniscus,negative,abnormality_absent,v3_target,strict,2
english,Medial OA,positive,tear,v2_exact,strict,2
english,Medial OA,uncertain,chondral_abnormality,v3_target,strict,2
turkish,Lateral Meniscus,negative,abnormality_absent,v2_collective,strict,2
dutch,ACL,uncertain,abnormality,v2_exact,strict,1
dutch,ACL,positive,sprain,v3_target,strict,1
dutch,ACL,positive,sprain,v2_exact,strict,1
dutch,ACL,negative,abnormality_absent,v3_target,strict,1
cyrillic_script,Synovitis,positive,chondral_abnormality,v2_exact,strict,1
cyrillic_script,Synovitis,positive,abnormality,v2_exact,strict,1
cyrillic_script,PF OA,negative,chondral_abnormality_absent,v3_target,strict,1
german,Lateral Meniscus,positive,tear,v2_exact,strict,1
turkish,Medial Meniscus,uncertain,tear,v2_exact,strict,1
french,Effusion,positive,chondral_abnormality,v2_exact,strict,1
cyrillic_script,Lateral OA,positive,chondral_abnormality,v3_target,strict,1
turkish,Medial Meniscus,positive,sprain,v2_collective,strict,1
cyrillic_script,Lateral OA,positive,chondral_abnormality,v2_exact,strict,1
turkish,Synovitis,positive,fracture,v2_exact,strict,1
turkish,PF OA,positive,abnormality,v2_exact,strict,1
turkish,Medial OA,positive,tear,v2_exact,strict,1
south_slavic,MCL,uncertain,tear,v3_target,strict,1
south_slavic,MCL,uncertain,tear,v2_exact,strict,1
south_slavic,MCL,uncertain,sprain,v3_target,linked,1
south_slavic,MCL,positive,tear,v3_target,linked,1
south_slavic,MCL,positive,sprain,v2_exact,strict,1
english,Synovitis,uncertain,fracture,v2_exact,strict,1
english,MCL,uncertain,sprain,v2_exact,strict,1
greek_script,Contusion,negative,bone_contusion_absent,v3_morphology,strict,1
greek_script,Baker's,positive,degeneration,v2_exact,strict,1
greek_script,Baker's,positive,chondral_abnormality,v2_exact,strict,1
greek_script,ACL,positive,sprain,v3_target,strict,1
greek_script,ACL,positive,degeneration,v3_target,linked,1
english,ACL,uncertain,degeneration,v3_target,linked,1
south_slavic,Medial OA,positive,abnormality,v2_exact,strict,1
south_slavic,Medial OA,negative,normal_cartilage,v3_target,strict,1
south_slavic,Medial Meniscus,uncertain,tear,v3_target,linked,1
south_slavic,Medial Meniscus,uncertain,sprain,v3_target,strict,1
south_slavic,Medial Meniscus,uncertain,sprain,v3_target,linked,1
south_slavic,Medial Meniscus,uncertain,abnormality,v3_target,strict,1
south_slavic,Medial Meniscus,uncertain,abnormality,v2_exact,strict,1
south_slavic,Medial Meniscus,positive,sprain,v3_target,strict,1
south_slavic,Medial Meniscus,positive,degeneration,v2_collective,strict,1
english,Contusion,positive,tear,v2_exact,strict,1
english,Baker's,uncertain,tear,v2_exact,strict,1
english,Baker's,uncertain,baker_cyst,v3_morphology,linked,1
south_slavic,MCL,positive,abnormality,v3_target,linked,1
south_slavic,Lateral OA,positive,degeneration,v2_exact,strict,1
south_slavic,Lateral OA,negative,normal_cartilage,v3_target,strict,1
south_slavic,Lateral Meniscus,uncertain,degeneration,v3_target,strict,1
english,Fracture,positive,fracture,v3_morphology,linked,1
english,Effusion,uncertain,joint_effusion,v3_morphology,linked,1
english,Effusion,uncertain,fracture,v2_exact,strict,1
south_slavic,Lateral Meniscus,positive,degeneration,v3_target,linked,1
south_slavic,Lateral Meniscus,positive,degeneration,v2_collective,strict,1
south_slavic,Lateral Meniscus,negative,normal_structure,v3_target,linked,1
greek_script,Contusion,positive,bone_contusion,v3_morphology,linked,1
english,Medial Meniscus,positive,abnormality,v3_target,linked,1
german,Fracture,positive,fracture,v2_exact,strict,1
german,Contusion,positive,tear,v2_exact,strict,1
german,Contusion,positive,bone_contusion,v3_morphology,linked,1
french,Contusion,positive,fracture,v2_exact,strict,1
english,ACL,positive,avulsion,v3_target,linked,1
south_slavic,PF OA,positive,chondral_abnormality,v2_collective,strict,1
south_slavic,PF OA,negative,chondral_abnormality_absent,v3_target,strict,1
english,Baker's,positive,baker_cyst,v3_morphology,linked,1
german,Baker's,positive,chondral_abnormality,v2_exact,strict,1
south_slavic,Effusion,positive,fracture,v2_exact,strict,1
south_slavic,Effusion,positive,extrusion,v2_exact,strict,1
south_slavic,Contusion,uncertain,bone_contusion,v3_morphology,strict,1
south_slavic,Baker's,uncertain,baker_cyst,v3_morphology,strict,1
south_slavic,Baker's,positive,tear,v2_exact,strict,1
german,Medial OA,positive,degeneration,v2_exact,strict,1
english,Medial OA,positive,fracture,v2_exact,strict,1
spanish,ACL,negative,normal_structure,v3_target,linked,1
french,PF OA,negative,chondral_abnormality_absent,v3_target,strict,1
french,PF OA,negative,abnormality_absent,v2_exact,strict,1
french,Medial Meniscus,positive,abnormality,v3_target,linked,1
english,Lateral Meniscus,positive,avulsion,v3_target,strict,1
english,Lateral Meniscus,positive,avulsion,v2_exact,strict,1
english,Lateral Meniscus,negative,abnormality_absent,v3_target,linked,1
english,Fracture,uncertain,fracture,v3_morphology,linked,1
south_slavic,Baker's,positive,chondral_abnormality,v2_exact,strict,1
south_slavic,ACL,uncertain,degeneration,v2_exact,strict,1
south_slavic,ACL,positive,tear,v3_target,linked,1
spanish,Contusion,positive,tear,v2_exact,strict,1
spanish,Contusion,positive,sprain,v2_exact,strict,1
spanish,ACL,uncertain,tear,v3_target,strict,1
spanish,ACL,uncertain,tear,v3_target,linked,1
spanish,ACL,positive,abnormality,v3_target,linked,1
english,Medial Meniscus,uncertain,tear,v3_target,linked,1
english,Medial Meniscus,positive,extrusion,v3_target,linked,1
german,Synovitis,uncertain,synovitis,v3_morphology,strict,1
german,Synovitis,positive,synovitis,v3_morphology,linked,1
german,Synovitis,negative,synovitis_absent,v3_morphology,strict,1
south_slavic,ACL,positive,degeneration,v3_target,linked,1
south_slavic,ACL,negative,normal_structure,v3_target,linked,1
english,PF OA,positive,tear,v2_exact,strict,1
english,PF OA,positive,tear,v2_collective,strict,1
german,ACL,positive,tear,v3_target,strict,1
german,ACL,positive,tear,v2_exact,strict,1
german,ACL,positive,degeneration,v2_exact,strict,1
french,PF OA,positive,degeneration,v2_exact,strict,1
german,Medial Meniscus,negative,abnormality_absent,v3_target,strict,1
german,MCL,uncertain,tear,v3_target,strict,1
spanish,Lateral Meniscus,positive,extrusion,v3_target,linked,1
dutch,Synovitis,positive,sprain,v2_exact,strict,1
dutch,Synovitis,positive,degeneration,v2_exact,strict,1
dutch,Synovitis,positive,chondral_abnormality,v2_exact,strict,1
dutch,PF OA,positive,degeneration,v2_exact,strict,1
dutch,Medial OA,uncertain,chondral_abnormality,v3_target,strict,1
dutch,Medial OA,positive,degeneration,v2_exact,strict,1
spanish,Fracture,uncertain,fracture,v3_morphology,linked,1
spanish,Effusion,positive,tear,v2_exact,strict,1
dutch,Medial Meniscus,uncertain,chondral_abnormality,v2_exact,strict,1
dutch,Medial Meniscus,positive,sprain,v2_exact,strict,1
dutch,Medial Meniscus,positive,chondral_abnormality,v2_exact,strict,1
english,Medial OA,positive,degeneration,v2_collective,strict,1
english,Medial OA,negative,chondral_abnormality_absent,v3_target,linked,1
german,Medial Meniscus,uncertain,extrusion,v3_target,strict,1
german,Medial Meniscus,uncertain,abnormality,v2_exact,strict,1
french,PF OA,positive,chondral_abnormality,v3_target,linked,1
french,PF OA,negative,normal_cartilage,v3_target,strict,1
latin_other,Medial Meniscus,positive,tear,v3_target,strict,1
latin_other,Medial Meniscus,positive,tear,v2_collective,strict,1
latin_other,Medial Meniscus,positive,sprain,v3_target,strict,1
latin_other,Medial Meniscus,positive,degeneration,v3_target,strict,1
latin_other,Medial Meniscus,negative,abnormality_absent,v3_target,strict,1
latin_other,Medial Meniscus,negative,abnormality_absent,v2_exact,strict,1
latin_other,MCL,positive,tear,v3_target,strict,1
latin_other,MCL,positive,tear,v2_exact,strict,1
latin_other,MCL,positive,sprain,v3_target,linked,1
latin_other,MCL,positive,sprain,v2_exact,strict,1
dutch,Lateral OA,positive,degeneration,v2_exact,strict,1
dutch,Lateral OA,positive,chondral_abnormality,v2_exact,strict,1
dutch,Lateral Meniscus,uncertain,degeneration,v3_target,strict,1
dutch,Lateral Meniscus,uncertain,degeneration,v2_exact,strict,1
dutch,Lateral Meniscus,uncertain,abnormality,v3_target,strict,1
spanish,Medial Meniscus,positive,abnormality,v3_target,linked,1
spanish,MCL,uncertain,sprain,v3_target,strict,1
spanish,MCL,uncertain,sprain,v3_target,linked,1
spanish,MCL,positive,sprain,v2_exact,strict,1
latin_other,MCL,positive,abnormality,v3_target,strict,1
latin_other,MCL,positive,abnormality,v2_exact,strict,1
latin_other,Lateral OA,positive,chondral_abnormality,v3_target,strict,1
latin_other,Lateral Meniscus,positive,tear,v3_target,strict,1
latin_other,Lateral Meniscus,positive,tear,v2_collective,strict,1
latin_other,Fracture,positive,fracture,v3_morphology,strict,1
latin_other,Fracture,positive,fracture,v2_exact,strict,1
latin_other,Baker's,positive,tear,v2_exact,strict,1
latin_other,Baker's,positive,baker_cyst,v3_morphology,strict,1
english,PF OA,positive,fracture,v2_exact,strict,1
english,PF OA,positive,degeneration,v2_collective,strict,1
english,PF OA,positive,abnormality,v2_collective,strict,1
english,PF OA,negative,chondral_abnormality_absent,v3_target,linked,1
french,MCL,positive,avulsion,v3_target,strict,1
french,MCL,positive,avulsion,v2_exact,strict,1
dutch,Fracture,positive,abnormality,v2_exact,strict,1
dutch,MCL,positive,abnormality,v2_exact,strict,1
